galaxy_ID,A,Vin,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2,,,
7443-1901,-0.442052403,4.589350488,38.76740827,29.99996103,-1.601776081,3.967689697,0.503945838,4.173861429,19.01667594,15.89920614,14.31008838,12.51119194,good,,
7443-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7443-3701,-1.327142761,0.670422572,1129.357951,11.41490268,-1.487154698,0.766477453,0.49834879,2.699542941,23.31074531,18.27999954,7.185888954,47.67034334,good,,
7443-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7443-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7443-3704,-1.027848987,4.999999996,1594.211317,29.99998739,-1.002405721,13.93173711,0.488935143,0.925483204,20.33542541,20.14845992,-6.446758215,28.2636811,good,,
7443-6101,0.325213921,0.511269098,1607.986378,20.10158228,-0.305115715,0.713204416,0.387278695,1.961196937,26.32484449,27.83908692,-0.065122522,5.04534412,good,,
7443-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7443-6103,-1.19778254,0.997089126,1240.290118,8.739075626,-0.275577769,1.582409644,0.527718979,3.511312761,23.30850485,26.66167301,-13.12845836,105.3709257,good,,
7443-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7443-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7443-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7443-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7443-12702,-6.999972481,4.999999989,2955.928502,29.97650444,-1.784012188,38.48265711,0.212309183,2.126815759,50.41304113,35.35561288,-12.39248414,112.8048583,good,,
7443-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,good,,
7443-12704,0.882860751,1.575984163,2999.984848,30,1.339375934,0.985789205,0.100050605,5.576138445,36.25216494,38.64176735,5.989405241,61.4263394,good,,
7443-12705,0.999956293,0.001050546,456.3349811,29.99996618,-2.420711425,934.7074856,0.459055704,2.639959553,46.98483224,40.59356197,38.19459937,10114.38194,bad,20ish,
7495-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7495-1902,0.938537283,4.434941846,2999.999855,0.893215811,-6.999949695,1.537180191,0.100275538,3.179384569,26.99995995,17.23867055,6.098886338,224.6285032,bad,"19,163,13",no good rot curve
7495-3701,-0.424634467,1.962226838,1066.192401,6.115146529,-1.627262492,22.26700156,0.551643849,2.715561474,23.95525881,22.20417471,0.477654116,223.038607,good,,
7495-3702,-0.183290883,0.740584494,2999.995414,2.112395961,-0.759672825,9.539680675,0.384230788,3.922476669,21.29762579,21.19984425,1.882548364,17.1700374,good,,
7495-3703,-0.736519042,1.387432347,744.5172832,4.173982012,-0.38246127,2.108764753,0.557303325,2.442437491,22.25574517,23.14875856,9.375876844,16.70429131,good,,
7495-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7495-6101,0.991179218,1.115859524,2999.999944,6.461074464,0.780438635,0.838316628,0.102342715,5.626156883,26.817594,26.82492516,-12.49880697,2.082055267,good,"8,8,66",
7495-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7495-6103,-6.690871876,4.999900567,233.1554333,12.70257584,-2.396829592,992.2632464,0.558743958,2.715231581,19.99017599,27.5136919,-0.363801895,2.058809418,good,,
7495-6104,-0.669223788,3.478843482,563.3021977,2.632321057,-4.504944445,4.301261368,0.489270241,1.589150872,25.93575783,30.57455553,8.327972763,1.751439655,good,,
7495-9101,-0.968851585,2.772494535,335.5369781,1.288218209,-1.578825036,1.207899874,0.463899858,4.239779936,31.09925354,33.62410703,-13.58118891,3.359055495,good,,
7495-9102,-0.055865707,2.990866505,1686.775586,11.02834285,-0.914794121,0.889671007,0.532232855,2.025168114,32.25105677,32.86556733,5.820662082,13.34172072,good,,
7495-12701,-6.999946646,0.003822437,0.100145392,0.267797818,0.165588113,60.97189121,0.195654329,2.639959553,46.99902361,46.99863751,99.99993356,2358.076511,bad,> 150 all,
7495-12702,0.998215239,3.400424923,2999.999997,2.214201092,1.577835926,0.545242966,0.109465078,6.331770717,36.38777689,35.21667642,-10.91393409,588.6737836,good,,
7495-12703,0.999956293,1.909830056,1145.959837,11.52078374,-3.562305899,382.0278146,0.584995383,2.639959553,27.00175347,46.99964754,-87.18414469,90737.50968,bad,> 150 all,
7495-12704,0.966446158,4.852299601,2999.99988,5.19508587,0.190800619,27.07627019,0.101666815,5.841125079,36.29504761,38.68964058,32.82943168,1021.876208,bad,still bad,
7495-12705,0.5384688,0.706129975,749.5156595,14.0003962,-4.191631171,10.32465071,0.100050605,4.865116196,37.17231792,36.04650002,14.77622287,2.10516044,good,,
7815-1901,0.484675931,0.560772608,653.7682892,11.4962341,1.046365807,0.35195421,0.420594638,3.251213262,16.99664889,16.22142425,17.49732612,2.791185652,good,,
7815-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7815-3701,0.946533138,3.853831705,3000,2.334318814,1.996228221,0.692475784,0.10778429,4.943635387,20.96267016,21.00398896,1.978428141,5.345061604,good,,
7815-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7815-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7815-3704,0.881414687,0.668373768,1584.349868,2.434942615,-0.991472649,9.739951623,0.480797828,1.625469117,20.83146561,20.97556263,24.20040353,4.42617706,good,,
7815-6101,-3.344969073,4.999954552,7.32745731,29.99994052,-0.470473953,770.8567935,0.420930255,2.261277821,25.75523832,26.84312845,8.262801191,65.37927932,good,,
7815-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7815-6103,0.997176621,1.959796149,0.11453019,3.576628559,-0.989929186,999.9999864,0.102803074,6.098212389,26.26051752,26.22414652,-0.259242154,7.645297304,good,,
7815-6104,-6.999992196,0.466428168,0.235583173,29.99993935,-0.251390858,13.073212,0.177810681,4.136946995,28.88267609,17.72743596,39.18325031,376.2568854,bad,> 500,
7815-9101,0.942985425,2.941677465,0.1,29.51100643,-2.122620258,6.060496462,0.100017481,5.213308323,31.87624709,30.62957955,14.6015166,67.11182636,good,,
7815-9102,-0.044056398,2.10E-05,871.5303922,2.296410557,-1.984559141,19.52686261,0.586329397,1.363070891,30.33166802,30.82311525,6.034321632,10.0372829,good,,
7815-12701,-2.557711382,0.639189435,823.8218108,16.28908105,-0.45157338,1.287169836,0.466776902,2.870313877,37.16994568,37.77131498,-5.961717587,5.606455138,good,,
7815-12702,0.707522793,1.527387727,2999.999875,21.21383932,-0.654902002,999.7037361,0.129253367,5.020373788,35.82106291,36.78359505,-18.72806912,6.505512704,good,"8, 48, 13",
7815-12703,-6.999996198,3.342049498,30.10111862,29.99999995,-0.241530258,4.859631507,0.358858121,3.33196463,35.42170077,34.64941978,20.76389918,3.78950822,good,,
7815-12704,-0.832081811,3.042090253,2208.914916,24.57000877,-1.100702747,15.63863688,0.571996209,1.407637418,34.64962436,35.87780125,-1.705752633,312.9103402,good,,
7815-12705,0.999956293,2.790310752,187.5261467,29.99993502,1.999946663,13.28025921,0.286588812,0.655050156,45.79749801,46.99995965,-17.43136616,364664.3095,good,> 200,
7957-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-3703,-0.093555628,0.239445193,163.277152,29.99996569,-6.999949473,0.317000157,0.536616492,2.842440455,16.55451535,18.36889148,0.577909682,968.9275754,bad,"around 70 for iso and bur, high for nfw",
7957-3704,-0.31467914,2.043780034,0.1,29.99999749,1.107733628,0.508107743,0.537492159,3.019325308,13.64193655,17.96481648,35.20583483,54.32454283,good,,
7957-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-6102,0.205085614,1.139042598,2014.799287,1.820464484,1.031062779,0.402862382,0.485502121,3.727675493,25.56465422,26.07180277,2.336909824,14.32767428,good,,
7957-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-6104,0.58156337,4.262289736,2999.999944,7.752176206,-0.510397428,1.018714884,0.151495062,4.603130437,26.77675874,28.00508163,-12.80060477,259.1558874,good,,
7957-9101,0.273799881,4.931874559,315.9864447,29.99993337,-0.029083442,984.107628,0.121022729,5.913245272,22.00008588,37.92701398,12.99087171,70.46681453,bad,"10, 170, 881",
