galaxy_ID,rho0_b,Rb,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
10001-12701,0.68155474,0.638786013,1860.291507,20.42483769,-0.789535717,19.24848673,0.307073372,1.067543677,37.84132041,39.03579917,1.355036259,33.89159087
10001-12702,0.20844105,0.381786517,599.4433204,16.96940508,-2.719274013,0.100161407,0.664441233,3.286380151,37.82730585,36.77274051,1.571576218,6.043839703
10001-12703,0.613635106,0.846027509,1219.234831,18.77163674,-1.034386038,12.29096582,0.387023788,0.936038214,37.17770907,37.14990892,10.29870493,47.67803286
10001-12704,-0.426488624,3.377615302,1347.583716,18.8655543,0.215368919,0.420883043,0.525174822,1.500358851,36.17773962,35.39972504,3.109231898,34.84223033
10001-12705,0.997148194,2.541336061,2999.999944,29.99754727,1.999946529,0.549033901,0.108542837,5.308450866,37.23893729,36.9091286,-15.13700499,36.02966614
10001-1901,0.999956174,0.501445561,2999.999956,9.050518147,1.51248123,3.404886578,0.10163082,4.714187599,17.52475396,19.41632326,7.264201096,24.31812135
10001-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-3702,-3.95294298,0.201992003,403.129002,12.68648851,-4.467995935,1.063722712,0.656174217,2.326174231,22.71271086,21.94141491,0.25057755,14.36108846
10001-3703,0.998867724,4.842892294,2999.999944,0.359520474,0.415542904,55.16004938,0.1,3.45426448,31.6208928,23.77080303,24.41716881,5860.962195
10001-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-6102,0.585612291,0.709487518,2188.071336,29.99482558,-1.602365903,0.108098384,0.343656595,2.608376814,36.27683068,27.98299829,-22.19688648,10344.11607
10001-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
