gal_ID,rho0_b,Rb,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
10001-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10213-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10215-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10215-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10215-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10215-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10216-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10217-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10218-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10218-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10218-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10219-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10220-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10221-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10221-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10221-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10221-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10222-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10222-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10222-3701,-0.9030020226426668,2.170269952495804,409.64443194144684,9.01124713023873,-4.112301664253565,236.0502599228441,1.183709060005607,4.7097259034909715,20.730715848600315,20.727869856181172,-9.040061421096178,58.54356704647829
10222-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10223-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10223-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10224-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10224-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10224-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10224-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10225-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10226-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10226-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10492-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10492-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10493-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10494-6101,-2.9788131126293678,0.8289893396022753,1362.907185077818,5.496882361801193,-3.252112125338389,254.10379105397453,1.0326542078935605,0.9621629543352124,25.978175258885777,25.93761149101838,-12.27208916214132,316.88255832192016
10495-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10496-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
