galaxy_ID,smoothness
10001-12701,1.560186343
10001-12702,1.561997936
10001-12703,1.141403557
10001-12704,1.290939078
10001-12705,1.116217114
10001-1901,1.205498645
10001-1902,2.901467556
10001-3701,2.416243343
10001-3702,1.436433631
10001-3703,0.846452255
10001-3704,0.986729648
10001-6101,2.568568638
10001-6102,0.557781786
10001-6103,2.282207969
10001-6104,1.856784613
10001-9101,1.376200564
10001-9102,2.12724333
10141-12701,nan
10141-12702,nan
10141-12703,nan
10141-12704,nan
10141-12705,nan
10141-1901,nan
10141-1902,nan
10141-3701,nan
10141-3702,nan
10141-3703,nan
10141-3704,nan
10141-6101,nan
10141-6102,nan
10141-6103,nan
10141-6104,nan
10141-9101,nan
10141-9102,nan
10142-12701,nan
10142-12702,nan
10142-12703,nan
10142-12704,nan
10142-12705,nan
10142-1901,nan
10142-1902,nan
10142-3701,nan
10142-3702,nan
10142-3703,nan
10142-3704,nan
10142-6101,nan
10142-6102,nan
10142-6103,nan
10142-6104,nan
10142-9101,nan
10142-9102,nan
10143-12701,nan
10143-12702,nan
10143-12703,nan
10143-12704,nan
10143-12705,nan
10143-1901,nan
10143-1902,nan
10143-3701,nan
10143-3702,nan
10143-3703,nan
10143-3704,nan
10143-6101,nan
10143-6102,nan
10143-6103,nan
10143-6104,nan
10143-9101,nan
10143-9102,nan
10144-12701,nan
10144-12702,nan
10144-12703,nan
10144-12704,nan
10144-12705,nan
10144-1901,nan
10144-1902,nan
10144-3701,nan
10144-3702,nan
10144-3703,nan
10144-3704,nan
10144-6101,nan
10144-6102,nan
10144-6103,nan
10144-6104,nan
10144-9101,nan
10144-9102,nan
10145-12701,nan
10145-12702,nan
10145-12703,nan
10145-12704,nan
10145-12705,nan
10145-1901,nan
10145-1902,nan
10145-3701,nan
10145-3702,nan
10145-3703,nan
10145-3704,nan
10145-6101,nan
10145-6102,nan
10145-6103,nan
10145-6104,nan
10145-9101,nan
10145-9102,nan
10146-12701,nan
10146-12702,nan
10146-12703,nan
10146-12704,nan
10146-12705,nan
10146-1901,nan
10146-1902,nan
10146-3701,nan
10146-3702,nan
10146-3703,nan
10146-3704,nan
10146-6101,nan
10146-6102,nan
10146-6103,nan
10146-6104,nan
10146-9101,nan
10146-9102,nan
10147-12701,nan
10147-12702,nan
10147-12703,nan
10147-12704,nan
10147-12705,nan
10147-1901,nan
10147-1902,nan
10147-3701,nan
10147-3702,nan
10147-3703,nan
10147-3704,nan
10147-6101,nan
10147-6102,nan
10147-6103,nan
10147-6104,nan
10147-9101,nan
10147-9102,nan
10148-12701,nan
10148-12702,nan
10148-12703,nan
10148-12704,nan
10148-12705,nan
10148-1901,nan
10148-1902,nan
10148-3701,nan
10148-3702,nan
10148-3703,nan
10148-3704,nan
10148-6101,nan
10148-6102,nan
10148-6103,nan
10148-6104,nan
10148-9101,nan
10148-9102,nan
10149-12701,nan
10149-12702,nan
10149-12703,nan
10149-12704,nan
10149-12705,nan
10149-1901,nan
10149-1902,nan
10149-3701,nan
10149-3702,nan
10149-3703,nan
10149-3704,nan
10149-6101,nan
10149-6102,nan
10149-6103,nan
10149-6104,nan
10149-9101,nan
10149-9102,nan
10150-12701,nan
10150-12702,nan
10150-12703,nan
10150-12704,nan
10150-12705,nan
10150-1901,nan
10150-1902,nan
10150-3701,nan
10150-3702,nan
10150-3703,nan
10150-3704,nan
10150-6101,nan
10150-6102,nan
10150-6103,nan
10150-6104,nan
10150-9101,nan
10150-9102,nan
10213-12701,2.560500509
10213-12702,1.581707453
10213-12703,1.8096676
10213-12704,2.586844791
10213-12705,0.707995245
10213-1901,1.599060703
10213-1902,0.553239019
10213-3701,1.368807464
10213-3702,2.761464521
10213-3703,0.549677101
10213-3704,2.854557655
10213-6101,2.47201592
10213-6102,2.359505325
10213-6103,1.497953865
10213-6104,2.541091174
10213-9101,0.738950459
10213-9102,1.904940452
10214-12701,1.123564705
10214-12702,2.345432555
10214-12703,1.339071646
10214-12704,2.612196347
10214-12705,2.544456817
10214-1901,1.727233393
10214-1902,1.265750178
10214-3701,nan
10214-3702,1.989863995
10214-3703,2.62716402
10214-3704,2.566148701
10214-6101,1.059360312
10214-6102,2.563509911
10214-6103,0.973106237
10214-6104,0.826930689
10214-9101,2.566986101
10214-9102,1.956785568
10215-12701,2.119781042
10215-12702,1.223950077
10215-12703,1.049933271
10215-12704,1.341056254
10215-12705,0.739718947
10215-1901,0.709014276
10215-1902,1.101190431
10215-3701,0.605251546
10215-3702,0.449459422
10215-3703,0.996024696
10215-3704,2.058912441
10215-6101,2.116978971
10215-6102,0.825575731
10215-6103,2.029483382
10215-6104,0.673706055
10215-9101,1.831755695
10215-9102,2.153480648
10216-12701,1.58153413
10216-12702,1.225241268
10216-12703,1.369272346
10216-12704,1.226184555
10216-12705,1.304841666
10216-1901,2.386780734
10216-1902,2.658361538
10216-3701,2.265715968
10216-3702,2.515010439
10216-3703,2.586000646
10216-3704,1.408508134
10216-6101,1.257631775
10216-6102,0.46905083
10216-6103,1.169223422
10216-6104,0.940325614
10216-9101,2.5897634
10216-9102,1.517814063
10217-12701,0.929039051
10217-12702,1.662252962
10217-12703,nan
10217-12704,nan
10217-12705,0.617651331
10217-1901,1.522741699
10217-1902,2.792259043
10217-3701,0.784792602
10217-3702,1.690615306
10217-3703,0.443480064
10217-3704,1.325743038
10217-6101,2.678556983
10217-6102,2.334647294
10217-6103,1.67974476
10217-6104,2.125190501
10217-9101,2.247392059
10217-9102,0.775811004
10218-12701,1.558175039
10218-12702,0.750761862
10218-12703,0.891534814
10218-12704,0.977171038
10218-12705,1.113144302
10218-1901,0.664561979
10218-1902,0.803740342
10218-3701,0.793551211
10218-3702,2.411414379
10218-3703,0.633224807
10218-3704,0.559671306
10218-6101,2.431702852
10218-6102,1.131107831
10218-6103,0.876272654
10218-6104,1.637004777
10218-9101,1.093471277
10218-9102,1.223905637
10219-12701,0.831337789
10219-12702,0.589112768
10219-12703,1.315560819
10219-12704,1.195177286
10219-12705,1.496557864
10219-1901,2.835657285
10219-1902,2.680316799
10219-3701,2.635525958
10219-3702,2.599110892
10219-3703,2.774460859
10219-3704,2.582399994
10219-6101,2.50047865
10219-6102,3.006549429
10219-6103,1.243744379
10219-6104,0.817074193
10219-9101,1.056512662
10219-9102,0.394095357
10220-12701,0.916212457
10220-12702,1.301862417
10220-12703,1.234749343
10220-12704,1.348894709
10220-12705,0.376781589
10220-1901,0.743965724
10220-1902,1.918701916
10220-3701,1.625705006
10220-3702,1.197041706
10220-3703,1.571890539
10220-3704,1.615031399
10220-6101,2.301735158
10220-6102,2.155987775
10220-6103,0.624877018
10220-6104,1.064305468
10220-9101,0.584348448
10220-9102,0.951134051
10221-12701,1.16002643
10221-12702,1.303809157
10221-12703,0.892859772
10221-12704,1.642990569
10221-12705,1.225242573
10221-1901,nan
10221-1902,0.893575721
10221-3701,1.345376225
10221-3702,2.292100621
10221-3703,2.752549578
10221-3704,1.054162295
10221-6101,0.957389223
10221-6102,0.876730312
10221-6103,0.446643795
10221-6104,1.676301624
10221-9101,0.526784872
10221-9102,0.664699342
10222-12701,1.396873142
10222-12702,0.698511598
10222-12703,1.864233624
10222-12704,0.818393241
10222-12705,1.305060879
10222-1901,1.912106146
10222-1902,0.892502598
10222-3701,0.648596109
10222-3702,1.702544266
10222-3703,1.434445914
10222-3704,0.939604786
10222-6101,0.340259754
10222-6102,1.5721995
10222-6103,0.869683483
10222-6104,2.403012938
10222-9101,1.563812772
10222-9102,1.08954182
10223-12701,2.854097573
10223-12702,1.237132225
10223-12703,1.229413894
10223-12704,1.605342363
10223-12705,0.865561336
10223-1901,2.162968604
10223-1902,0.59695152
10223-3701,0.726541158
10223-3702,2.035065647
10223-3703,0.62970303
10223-3704,2.447186218
10223-6101,1.395773932
10223-6102,2.696290111
10223-6103,2.758167232
10223-6104,1.338439377
10223-9101,1.75251962
10223-9102,1.81425706
10224-12701,1.814415382
10224-12702,1.62750512
10224-12703,1.101621529
10224-12704,1.488635943
10224-12705,1.687483021
10224-1901,1.651354879
10224-1902,2.032630977
10224-3701,1.457145529
10224-3702,0.756313202
10224-3703,0.885178398
10224-3704,1.726200422
10224-6101,0.470904867
10224-6102,2.415776653
10224-6103,0.862873966
10224-6104,0.892955467
10224-9101,0.820710809
10224-9102,1.71128567
10225-12701,1.570104481
10225-12702,2.205095954
10225-12703,0.772223439
10225-12704,1.947509672
10225-12705,2.357058725
10225-1902,2.502090537
10225-3701,1.343889257
10225-3703,2.541554727
10225-3704,0.58541199
10225-6101,1.876251384
10225-6102,0.94493752
10225-6104,2.371690538
10225-9101,1.653174827
10225-9102,1.974655315
10226-12701,1.900340263
10226-12702,2.488712029
10226-12703,2.657423827
10226-12704,1.256214529
10226-12705,0.784420702
10226-1901,0.73729093
10226-1902,0.751983114
10226-3701,2.179034532
10226-3702,0.778656953
10226-3703,0.497059375
10226-3704,0.590610806
10226-6101,1.143903661
10226-6102,0.729223515
10226-6103,1.970709831
10226-6104,0.756618999
10226-9101,1.303490785
10226-9102,1.243297433
10480-12701,nan
10480-12702,nan
10480-12703,nan
10480-12704,nan
10480-12705,nan
10480-1901,nan
10480-1902,nan
10480-3701,nan
10480-3702,nan
10480-3703,nan
10480-3704,nan
10480-6101,nan
10480-6102,nan
10480-6103,nan
10480-6104,nan
10480-9101,nan
10480-9102,nan
10481-12701,nan
10481-12702,nan
10481-12703,nan
10481-12704,nan
10481-12705,nan
10481-1901,nan
10481-1902,nan
10481-3701,nan
10481-3702,nan
10481-3703,nan
10481-3704,nan
10481-6101,nan
10481-6102,nan
10481-6103,nan
10481-6104,nan
10481-9101,nan
10481-9102,nan
10482-12701,nan
10482-12702,nan
10482-12703,nan
10482-12704,nan
10482-12705,nan
10482-1902,nan
10482-3701,nan
10482-3703,nan
10482-3704,nan
10482-6101,nan
10482-6102,nan
10482-6104,nan
10482-9101,nan
10482-9102,nan
10483-12701,nan
10483-12702,nan
10483-12703,nan
10483-12704,nan
10483-12705,nan
10483-1902,nan
10483-3701,nan
