gal_ID,rho0_b,Rb,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
10516-12704,-0.36389137238999436,2.078523974483319,360.76065790037205,21.719166448615212,-3.631686431159463,270.06564844325686,0.562619998690939,4.618244662882282,36.365768282813484,35.80102227024585,9.501354702943235,25.35106818891687
10516-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10516-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10516-3701,-2.999129803938503,0.6722195163144985,2399.6298132136703,3.209075391466909,-1.7937386200518717,238.6048567017802,0.21607023634506273,2.6446628281631392,21.395620276242425,21.073607973649924,5.1921049615545165,5.959545309198988
10516-3704,-4.505503617991651,2.473183553086188,2531.926978173264,28.2728312308022,-3.1000747206144665,230.79705922537676,1.3628989089777208,5.511570230514931,20.639122085060286,20.305210993271324,7.958938301160768,5.307064121134985
10517-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10517-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10517-1901,-2.507485659535845,1.1002221039882012,2465.234957393345,3.9670275639554675,-4.347962972093664,268.9923283180335,0.4507308157252448,4.386050420943843,13.141549646709091,19.674447148939485,-41.05401024473037,7.425148433279479
10517-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10517-3704,-1.7473338325118375,0.7017788164825365,2349.6299966622546,2.5354308214808636,-5.385351312754643,240.4354570361686,0.852179531484851,4.846999501759283,22.316517960669266,21.876437888303915,13.064028484544872,128.72069979123185
10517-6102,-0.3408733172084646,2.016906168733076,2647.7381912384567,2.71639370538679,-4.7627395967203165,345.8749319550199,0.8765991370900235,6.279313667693864,26.48792836946442,30.356507886175514,-1.4945108236532136,1616.1738927295203
10517-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10517-9102,-1.4441899124228454,0.3187348489613532,2863.438158757804,0.7176747329349935,-4.8767095463787555,87.00192010191205,0.49082113803481814,5.619258797728099,32.35147586884047,31.752636530645205,-10.422182309686468,108.76140273918978
10518-12702,0.6612978405436424,0.6401358286113681,861.162698336569,6.244970802114505,-5.1274570940894355,248.4549505441168,1.080666069094309,3.376852372139679,37.531168833944825,37.55845877367417,-21.987280129275828,10.20483239244172
10518-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10518-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10518-3704,-0.12762964001648938,0.5684842277895656,2506.7735490549485,1.1744556547706493,-5.170692316337172,234.8831427670623,0.3303355518417678,6.247266456131903,20.253282256076446,22.015642317656056,0.6174460776828349,28.961440681166835
10518-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10518-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10519-12705,-0.15763788217430652,1.7732672139014725,2188.876155322786,13.868943501828852,-2.5926573226171397,209.41699289349705,0.26273088163376074,3.0762766384907816,37.1209708836205,37.19131146979066,-0.46582676445055615,14.839047652082874
10519-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10520-12701,0.27700373261962935,0.355701617113779,446.6924800018301,7.2301133136726605,-2.909405251888097,157.37401332025718,1.179987634850806,3.444274503744138,37.73552796632666,38.83353405482227,2.5763953904112262,199.08183331700195
10520-12703,-1.2641464311515658,1.6180119314156705,1927.4375191911495,5.362797168657386,-4.6281686103762265,253.8842324568294,0.22291181982312097,0.3482840009088033,37.5813154150005,38.15189131003068,6.992084995628854,18.779310972689178
10520-12704,-4.18654306255542,0.8187416214659723,418.6110979707325,13.989019846386102,-1.8451192290603102,17.73792424743181,1.0910249973749953,4.932469273425749,34.740618496990585,35.562743023627455,2.0750877252984434,271.42500499204397
10520-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10520-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10520-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10520-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10520-6103,-0.37492465423834126,1.9919341911334054,98.83818491340094,15.725844513740563,-5.368988236280658,284.78510371830765,1.1156655760970235,5.311987292426323,27.69317374616951,27.711015430811788,-1.6058767667752984,42.5425338101766
10520-6104,-0.44556131347641537,1.9674724120010183,335.766809025794,17.48939532447927,-4.207881215189597,290.593210106575,0.6214497688064325,2.8920813040458717,27.290475396291882,26.10867032288109,10.088690005573474,89.27998106653857
10520-9101,-1.085435147990152,0.966127490317335,255.42936678897902,6.729894328892551,-4.5611795091943685,260.1129297979811,0.6971332598053693,5.498446319972205,32.20174548992502,31.65359503753314,2.230905462654334,3.234674793462016
10837-12701,-4.552114429611718,0.17483028564095351,39.854384996282235,0.42548233972728233,-6.530357816452266,252.83628961054805,1.2416777081313597,5.696993573214724,49.736266080072475,44.458057672162106,-4.024638401100149,5.665240260105157
10837-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10838-12703,-0.3301263123025189,0.8818165723876269,88.87038906033376,17.68428708145919,-2.4814017671488555,277.2124737296121,0.8666477610342592,5.294029353981559,37.30400714989525,37.715701827330044,3.6132275319034766,3.9101291359287433
10838-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10838-1902,-3.6691531710435172,1.6613490281057157,769.3240395682462,6.004343077022939,-3.828072316717971,264.6498752565369,0.6947248612254422,5.401269618898639,17.53215150435468,16.66282116624201,-27.584687138795548,11.205425822405365
10838-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10838-6103,-2.1399569587725495,1.0022577218495503,123.00344556042614,5.174216642086491,-5.398941635226272,233.01298502986452,1.0351202162788713,3.704526387348514,25.716927095675384,25.28504427043858,-1.7499961141867444,120.46149264305868
10838-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10839-12701,0.5004781175510971,1.1446352968037932,1852.2575712884282,15.150966254252854,-5.246395546576019,203.96675498810924,0.21600825163220813,4.566878219974853,38.16411990755055,30.728864878896736,9.724985488222801,93.9987598644109
10839-12702,-1.7584035023057087,1.6649198795560687,2761.5449551158204,8.112412223140272,-3.2512808215985345,253.5879304442276,0.25496336694421656,1.657858493492237,37.2245815564186,37.14279238339297,6.433550904902071,4.6581251630438105
