galaxy_ID,A,Vin,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
10001-12701,0.6815547397157088,0.638786012760358,1860.2915069777232,20.424837692231247,-0.7895357168389308,19.248486728607126,0.3070733716804449,1.0675436765982416,37.841320406416244,39.035799166430955,1.355036259182295,33.89159086768261
10001-12702,0.20844104967938676,0.3817865167636453,599.4433204185314,16.969405076527156,-2.719274013258768,0.10016140714041111,0.6644412329698743,3.286380150592659,37.82730584746958,36.77274051086886,1.5715762183567028,6.043839702754441
10001-12703,0.6136351060266004,0.8460275092209222,1219.2348307111301,18.771636735458536,-1.0343860382849848,12.290965823850906,0.38702378774494334,0.9360382137519524,37.17770906880701,37.149908917192946,10.29870492931659,47.678032863702065
10001-12704,-0.4264886239753292,3.3776153020329462,1347.583715636744,18.865554302820005,0.21536891903809194,0.4208830429579318,0.525174822348122,1.5003588508836718,36.177739615337885,35.39972503520233,3.1092318976836317,34.84223032674354
10001-12705,0.9971481937637597,2.5413360610053997,2999.9999444653436,29.99754727443504,1.9999465294527217,0.5490339011104024,0.10854283732781278,5.308450866026771,37.23893728846736,36.90912860412091,-15.137004989226254,36.02966614068968
10001-1901,0.9999561743675931,0.501445561385489,2999.9999561427303,9.050518146512628,1.5124812300795962,3.4048865780603412,0.10163081975899553,4.714187598940888,17.524753955076374,19.41632325718723,7.2642010961989065,24.31812135453592
10001-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-3702,-3.9529429803716187,0.2019920029103484,403.1290019808171,12.686488510767163,-4.4679959348134215,1.06372271180815,0.6561742165767157,2.326174230613299,22.712710856339594,21.941414906244148,0.2505775496785171,14.3610884563317
10001-3703,0.9988677240507791,4.842892294430248,2999.9999444653436,0.3595204742886957,0.41554290444221437,55.16004938491523,0.10000000010542617,3.454264479671347,31.620892797557254,23.770803032748614,24.417168809625302,5860.962195180676
10001-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-6102,0.5856122907053667,0.7094875177998883,2188.071336474914,29.994825579218926,-1.6023659031334834,0.10809838351610779,0.34365659496413214,2.608376814295258,36.27683067700306,27.982998291918857,-22.196886476988443,10344.11606655496
10001-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10141-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10142-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10143-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10144-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10145-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
