galaxy_ID,r90
10001-12701,9.852487564086914
10001-12702,14.355437278747559
10001-12703,14.743389129638672
10001-12704,33.156402587890625
10001-12705,12.379983901977539
10001-1901,5.707961082458496
10001-1902,12.705109596252441
10001-3701,4.594825267791748
10001-3702,13.263102531433105
10001-3703,6.644127368927002
10001-3704,12.408754348754883
10001-6101,11.9249849319458
10001-6102,15.942649841308594
10001-6103,17.755334854125977
10001-6104,20.840084075927734
10001-9101,11.567216873168945
10001-9102,14.78046703338623
10141-12701,0.0
10141-12702,0.0
10141-12703,0.0
10141-12704,0.0
10141-12705,0.0
10141-1901,0.0
10141-1902,0.0
10141-3701,0.0
10141-3702,0.0
10141-3703,0.0
10141-3704,0.0
10141-6101,0.0
10141-6102,0.0
10141-6103,0.0
10141-6104,0.0
10141-9101,0.0
10141-9102,0.0
10142-12701,0.0
10142-12702,0.0
10142-12703,0.0
10142-12704,0.0
10142-12705,0.0
10142-1901,0.0
10142-1902,0.0
10142-3701,0.0
10142-3702,0.0
10142-3703,0.0
10142-3704,0.0
10142-6101,0.0
10142-6102,0.0
10142-6103,0.0
10142-6104,0.0
10142-9101,0.0
10142-9102,0.0
10143-12701,0.0
10143-12702,0.0
10143-12703,0.0
10143-12704,0.0
10143-12705,0.0
10143-1901,0.0
10143-1902,0.0
10143-3701,0.0
10143-3702,0.0
10143-3703,0.0
10143-3704,0.0
10143-6101,0.0
10143-6102,0.0
10143-6103,0.0
10143-6104,0.0
10143-9101,0.0
10143-9102,0.0
10144-12701,0.0
10144-12702,0.0
10144-12703,0.0
10144-12704,0.0
10144-12705,0.0
10144-1901,0.0
10144-1902,0.0
10144-3701,0.0
10144-3702,0.0
10144-3703,0.0
10144-3704,0.0
10144-6101,0.0
10144-6102,0.0
10144-6103,0.0
10144-6104,0.0
10144-9101,0.0
10144-9102,0.0
10145-12701,0.0
10145-12702,0.0
10145-12703,0.0
10145-12704,0.0
10145-12705,0.0
10145-1901,0.0
10145-1902,0.0
10145-3701,0.0
10145-3702,0.0
10145-3703,0.0
10145-3704,0.0
10145-6101,0.0
10145-6102,0.0
10145-6103,0.0
10145-6104,0.0
10145-9101,0.0
10145-9102,0.0
10146-12701,0.0
10146-12702,0.0
10146-12703,0.0
10146-12704,0.0
10146-12705,0.0
10146-1901,0.0
10146-1902,0.0
10146-3701,0.0
10146-3702,0.0
10146-3703,0.0
10146-3704,0.0
10146-6101,0.0
10146-6102,0.0
10146-6103,0.0
10146-6104,0.0
10146-9101,0.0
10146-9102,0.0
10147-12701,0.0
10147-12702,0.0
10147-12703,0.0
10147-12704,0.0
10147-12705,0.0
10147-1901,0.0
10147-1902,0.0
10147-3701,0.0
10147-3702,0.0
10147-3703,0.0
10147-3704,0.0
10147-6101,0.0
10147-6102,0.0
10147-6103,0.0
10147-6104,0.0
10147-9101,0.0
10147-9102,0.0
10148-12701,0.0
10148-12702,0.0
10148-12703,0.0
10148-12704,0.0
10148-12705,0.0
10148-1901,0.0
10148-1902,0.0
10148-3701,0.0
10148-3702,0.0
10148-3703,0.0
10148-3704,0.0
10148-6101,0.0
10148-6102,0.0
10148-6103,0.0
10148-6104,0.0
10148-9101,0.0
10148-9102,0.0
10149-12701,0.0
10149-12702,0.0
10149-12703,0.0
10149-12704,0.0
10149-12705,0.0
10149-1901,0.0
10149-1902,0.0
10149-3701,0.0
10149-3702,0.0
10149-3703,0.0
10149-3704,0.0
10149-6101,0.0
10149-6102,0.0
10149-6103,0.0
10149-6104,0.0
10149-9101,0.0
10149-9102,0.0
10150-12701,0.0
10150-12702,0.0
10150-12703,0.0
10150-12704,0.0
10150-12705,0.0
10150-1901,0.0
10150-1902,0.0
10150-3701,0.0
10150-3702,0.0
10150-3703,0.0
10150-3704,0.0
10150-6101,0.0
10150-6102,0.0
10150-6103,0.0
10150-6104,0.0
10150-9101,0.0
10150-9102,0.0
10213-12701,19.056499481201172
10213-12702,12.861767768859863
10213-12703,16.72977638244629
10213-12704,25.21367835998535
10213-12705,24.491958618164062
10213-1901,10.663590431213379
10213-1902,19.216617584228516
10213-3701,10.03966999053955
10213-3702,8.116576194763184
10213-3703,14.225995063781738
10213-3704,19.399147033691406
10213-6101,10.400517463684082
10213-6102,11.622421264648438
10213-6103,18.969200134277344
10213-6104,15.649275779724121
10213-9101,19.195798873901367
10213-9102,18.453237533569336
10214-12701,29.03072166442871
10214-12702,14.391451835632324
10214-12703,29.132741928100586
10214-12704,27.72085952758789
10214-12705,52.46271514892578
10214-1901,21.557931900024414
10214-1902,4.884957790374756
10214-3701,0.0
10214-3702,14.18292236328125
10214-3703,16.35460662841797
10214-3704,8.663031578063965
10214-6101,15.825783729553223
10214-6102,12.258795738220215
10214-6103,19.674102783203125
10214-6104,17.51658821105957
10214-9101,24.119657516479492
10214-9102,11.332554817199707
10215-12701,16.99125862121582
10215-12702,10.562400817871094
10215-12703,26.41735076904297
10215-12704,25.11236572265625
10215-12705,19.45252799987793
10215-1901,7.161678791046143
10215-1902,5.081458568572998
10215-3701,9.958691596984863
10215-3702,15.70554256439209
10215-3703,10.887801170349121
10215-3704,8.684367179870605
10215-6101,8.15710163116455
10215-6102,15.427289009094238
10215-6103,8.327210426330566
10215-6104,9.300808906555176
10215-9101,9.281583786010742
10215-9102,10.561101913452148
