# %ECSV 0.9
# ---
# datatype:
# - {name: MaNGA_plate, datatype: int64}
# - {name: MaNGA_IFU, datatype: int64}
# - {name: NSAID, datatype: int64}
# - {name: ra, unit: deg, datatype: float64}
# - {name: dec, unit: deg, datatype: float64}
# - {name: redshift, datatype: float64}
# - {name: ba, datatype: float64}
# - {name: phi, unit: deg, datatype: float64}
# - {name: Mstar, unit: solMass, datatype: float64}
# - {name: rabsmag, datatype: float64}
# - {name: plate, datatype: int64}
# - {name: MJD, datatype: int64}
# - {name: fiberID, datatype: int64}
# - {name: index, datatype: int64}
# - {name: imc, datatype: float64}
# - {name: aimc, datatype: float64}
# - {name: smoothness_score, datatype: float64}
# - {name: logHI, unit: dex(solMass), datatype: float64}
# - {name: WF50, unit: km / s, datatype: float64}
# - {name: WP20, unit: km / s, datatype: float64}
# meta: !!omap
# - __serialized_columns__:
#     Mstar:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: solMass}
#       value: !astropy.table.SerializedColumn {name: Mstar}
#     WF50:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: WF50}
#     WP20:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: WP20}
#     dec:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: dec}
#     logHI:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(solMass)}
#       value: !astropy.table.SerializedColumn {name: logHI}
#     phi:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: phi}
#     ra:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: ra}
# schema: astropy-2.0
MaNGA_plate MaNGA_IFU NSAID ra dec redshift ba phi Mstar rabsmag plate MJD fiberID index imc aimc smoothness_score logHI WF50 WP20
8939 12704 315868 125.687370639 24.2969703898 0.012853 0.844731 122.186 11279500000.0 -20.2376 1585 52962 25 1819519 2.0 -2.0 nan 10.050000190734863 450.30642298214684 534.3885351572364
9507 12704 647713 129.600036621 25.7545013428 0.0181814 0.850208 49.2228 15330500000.0 -20.4859 1930 53347 477 1855126 2.0 26.45 nan 9.470000267028809 157.66071995536652 180.45504091276888
8942 12703 231299 125.21338865 28.4058888443 0.0154449 0.461519 115.538 550312000.0 -17.0032 1207 52672 201 1035105 2.0 55.1 nan 9.199999809265137 204.02864720354242 278.4258334766573
9512 12703 57296 140.009042427 1.03830336226 0.0170264 0.703029 17.2008 51986200000.0 -21.3582 473 51929 86 184190 1.0 1.0 nan -999.0 -1404.7448410992704 -1404.7448410992704
8153 12703 39428 41.0682926204 0.341599264633 0.0220552 0.692925 154.034 2972350000.0 -19.7777 409 51871 347 772008 1.0 1.0 nan -999.0 -1385.5570062798865 -1385.5570062798865
8940 12702 173375 120.087417603 26.613527298 0.0267379 0.734859 114.25 44110400000.0 -21.337 929 52581 142 878643 2.0 0.0 nan 10.140000343322754 594.2025475719039 549.9691073060053
8982 12702 484109 202.623387924 26.5145483668 0.0250234 0.391208 48.8718 238771000.0 -17.2953 2244 53795 637 2226374 2.0 115.14 nan 9.050000190734863 68.45576811268691 193.4147099056868
9493 12702 407342 129.012733645 23.9118395792 0.0121797 0.435525 46.151 210392000.0 -16.4453 1929 53349 526 1876778 2.0 105.88 nan 9.069999694824219 156.63592510904022 213.2914724889058
9507 12702 316371 128.494561948 26.1067972709 0.0586735 0.903494 53.6503 20917800000.0 -20.8619 1586 52945 614 1151347 2.0 26.45 nan -999.0 -2330.840601044011 -2330.840601044011
9501 12702 407514 129.606947052 25.0708402532 0.028346 0.745989 161.113 645853000.0 -16.7605 1930 53347 199 1814897 1.0 2.0 nan -999.0 -1500.0940016814643 -1500.0940016814643
8934 12702 483200 195.358852894 27.8859851519 0.018252 0.930891 127.324 71801300000.0 -21.7127 2241 54169 592 2243644 2.0 17.09 nan 9.229999542236328 490.01214865324755 347.6622507204606
9025 12702 686661 244.56538 29.64843 0.020204 0.739661 24.4185 614190000.0 -16.5151 0 0 0 -1 -1.0 -1.0 nan -999.0 -1484.4431100864167 -1484.4431100864167
9193 12701 39895 45.954624176 -1.10374999046 0.0136253 0.695706 143.959 22172300000.0 -20.4061 411 51817 217 1029095 2.0 14.33 nan -999.0 -1390.7322164249204 -1390.7322164249204
9863 12701 483368 195.139836909 27.504158471 0.0186082 0.74338 52.5993 791515000.0 -17.8889 2242 54153 353 2242715 2.0 178.62 nan -999.0 -1493.5652761934546 -1493.5652761934546
9507 12701 316095 128.250742039 26.0140506945 0.0176283 0.293348 111.051 4734820000.0 -19.297 1586 52945 13 1151344 2.0 36.75 nan 9.619999885559082 301.2534253027302 313.8056513570106
9036 1902 262712 237.911616858 43.6395938515 0.0399837 0.652034 145.214 4544920000.0 -18.8051 1334 52764 381 998522 1.0 1.0 1.7385471066374663 nan nan nan
9036 3701 262578 239.113568186 42.1011405811 0.0385889 0.954727 17.7897 45481300000.0 -21.2235 1334 52764 75 997480 1.0 1.0 1.5275194662246518 nan nan nan
